disease,gene,score
144.0,8007.0,0.16
144.0,7172.0,0.18
144.0,3177.0,0.24
144.0,7215.0,0.14
144.0,2162.0,0.22
144.0,6476.0,0.76
144.0,609.0,0.14
144.0,5875.0,0.16
144.0,6225.0,0.22
144.0,4440.0,0.18
144.0,7929.0,0.18
144.0,4169.0,0.22
144.0,3711.0,0.12
144.0,3699.0,0.2
144.0,4422.0,0.14
144.0,3120.0,0.2
144.0,968.0,0.2
144.0,3280.0,0.6
144.0,6437.0,0.36
144.0,2390.0,0.16
144.0,3199.0,0.16
144.0,5319.0,0.38
144.0,8911.0,0.24
144.0,2941.0,0.16
144.0,7352.0,0.2
144.0,9161.0,0.16
144.0,7655.0,0.12
144.0,4411.0,0.2
144.0,5866.0,0.34
144.0,2424.0,0.18
144.0,7449.0,0.1
144.0,763.0,0.22
144.0,8569.0,0.46
144.0,3854.0,0.28
144.0,1615.0,0.24
144.0,7396.0,0.14
144.0,3700.0,0.1
144.0,3847.0,0.16
144.0,689.0,0.34
144.0,6414.0,0.38
144.0,3571.0,0.2
144.0,179.0,0.2
144.0,902.0,0.22
144.0,1716.0,0.18
144.0,6203.0,0.32
144.0,3988.0,0.14
144.0,1585.0,0.16
144.0,5487.0,0.16
144.0,1431.0,0.28
144.0,2033.0,0.2
144.0,4934.0,0.1
144.0,3721.0,0.18
144.0,3071.0,0.42
144.0,6253.0,0.24
144.0,2718.0,0.4
144.0,2226.0,0.58
144.0,5559.0,0.18
144.0,8453.0,0.4
144.0,1047.0,0.12
144.0,1713.0,0.12
144.0,3661.0,0.16
144.0,8769.0,0.2
144.0,1556.0,0.38
144.0,5564.0,0.2
144.0,2738.0,0.16
144.0,9199.0,0.2
144.0,3361.0,0.14
144.0,1019.0,0.2
144.0,2880.0,0.3
144.0,4323.0,0.4
144.0,5309.0,0.12
144.0,476.0,0.34
144.0,6423.0,0.16
144.0,8136.0,0.12
144.0,2735.0,0.18
144.0,5218.0,0.32
144.0,6925.0,0.22
144.0,4107.0,0.12
144.0,4285.0,0.3
144.0,8673.0,0.2
144.0,7135.0,0.14
144.0,4451.0,0.2
144.0,4159.0,0.34
144.0,6888.0,0.18
144.0,8503.0,0.14
144.0,5744.0,0.22
144.0,3491.0,0.14
144.0,2939.0,0.66
144.0,6104.0,0.28
144.0,2347.0,0.12
144.0,6640.0,0.36
144.0,1677.0,0.16
144.0,6632.0,0.26
144.0,4925.0,0.3
144.0,425.0,0.16
144.0,8202.0,0.3
144.0,6764.0,0.16
144.0,7712.0,0.16
144.0,2924.0,0.18
144.0,1611.0,0.14
144.0,7098.0,0.24
144.0,199.0,0.24
144.0,8345.0,0.2
144.0,7838.0,0.18
144.0,5137.0,0.16
144.0,5345.0,1.0
144.0,7644.0,0.2
144.0,2864.0,0.14
144.0,3686.0,0.3
144.0,681.0,0.18
144.0,2798.0,0.14
144.0,3541.0,0.18
144.0,1643.0,0.42
144.0,7073.0,0.1
144.0,6440.0,0.3
144.0,9046.0,0.14
144.0,8298.0,0.2
144.0,406.0,0.38
